Fixture Group,Fixture Date,Home Team,Away Team,First Name,Last Name,Team,Stat Desc,Stat Value,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[SCS],Seppy,Miami Vice (MIA),Assists,3.00,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[COW],Kspyre,Richmond Rats (RR),Assists,3.00,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[MIA],Rodeo,Richmond Rats (RR),Assists,2.00,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[COW],Kspyre,Richmond Rats (RR),Goals,1.00,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[POP],TheC0ckyWalrus,Richmond Rats (RR),Goals,2.00,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[NEH],Reno,Miami Vice (MIA),Goals,1.00,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[SCS],Seppy,Miami Vice (MIA),Goals,2.00,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[MIA],Rodeo,Richmond Rats (RR),Goals,7.00,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[RR],Rath,Miami Vice (MIA),Goals,4.00,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[POP],TheC0ckyWalrus,Richmond Rats (RR),Saves,4.00,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[SCS],Seppy,Miami Vice (MIA),Saves,0.00,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[COW],Kspyre,Richmond Rats (RR),Saves,0.00,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[MIA],Rodeo,Richmond Rats (RR),Saves,0.00,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[NEH],Reno,Miami Vice (MIA),Saves,8.00,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[RR],Rath,Miami Vice (MIA),Saves,3.00,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[POP],TheC0ckyWalrus,Richmond Rats (RR),Shots,7.00,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[NEH],Reno,Miami Vice (MIA),Shots,2.00,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[RR],Rath,Miami Vice (MIA),Shots,7.00,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[SCS],Seppy,Miami Vice (MIA),Shots,2.00,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[MIA],Rodeo,Richmond Rats (RR),Shots,11.00,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[COW],Kspyre,Richmond Rats (RR),Shots,3.00,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[IRA],GoYeetYourself,Ireland Pepe Tactics (IPT),Assists,2.00,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[DCU],dave,Ireland Pepe Tactics (IPT),Assists,0.00,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[CTH],b*tt,Detroit Mighty Clucks (DMC),Assists,3.00,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[DMC],Reek,Detroit Mighty Clucks (DMC),Assists,0.00,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[COW],Timmy,Ireland Pepe Tactics (IPT),Assists,0.00,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[HAM],Rick,Detroit Mighty Clucks (DMC),Assists,2.00,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[DCU],dave,Ireland Pepe Tactics (IPT),Goals,1.00,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[HAM],Rick,Detroit Mighty Clucks (DMC),Goals,1.00,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[DMC],Reek,Detroit Mighty Clucks (DMC),Goals,4.00,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[COW],Timmy,Ireland Pepe Tactics (IPT),Goals,1.00,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[IRA],GoYeetYourself,Ireland Pepe Tactics (IPT),Goals,1.00,
