Fixture Group,Fixture Date,Home Team,Away Team,First Name,Last Name,Team,Stat Desc,Stat Value,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[OKL],Dolen,Oklahoma Exotics (OKL),Saves,4.00,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[SCS],SooperDooperKyle,Carolina Smokers (SMK),Saves,2.00,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[CLP],LemonBond,Carolina Smokers (SMK),Saves,0.00,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[QUE],Green,Oklahoma Exotics (OKL),Saves,5.00,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[SCS],SooperDooperKyle,Carolina Smokers (SMK),Shots,4.00,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[QUE],Green,Oklahoma Exotics (OKL),Shots,2.00,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[BOS],Kacktus,Carolina Smokers (SMK),Shots,19.00,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[CLP],LemonBond,Carolina Smokers (SMK),Shots,11.00,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[OKL],BooYAH2g1c [C],Oklahoma Exotics (OKL),Shots,2.00,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[OKL],Dolen,Oklahoma Exotics (OKL),Shots,2.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[MAS],Wendy's Cashier,Chico Chimps (CMP),Assists,2.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[MIO],Cameron,Chico Chimps (CMP),Assists,2.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[CHA],Themattx / Matt / Crispy Canadian,Chico Chimps (CMP),Assists,1.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[SLS],siko,Washington Airplanes (WAP),Assists,0.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[SLS],Yung Crisp,Washington Airplanes (WAP),Assists,0.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[DTD],YogiBear,Washington Airplanes (WAP),Assists,1.00,
