Fixture Group,Fixture Date,Home Team,Away Team,First Name,Last Name,Team,Stat Desc,Stat Value,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[COB],TyrantK,Columbus Clappers (CLP),Assists,1.00,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[BKLN],scodz,Brooklyn Bandits (BKLN),Assists,0.00,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[CLP],Panarin,Columbus Clappers (CLP),Assists,2.00,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[BKLN],qslvr,Brooklyn Bandits (BKLN),Assists,0.00,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[COB],TyrantK,Columbus Clappers (CLP),Goals,3.00,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[CLP],Panarin,Columbus Clappers (CLP),Goals,0.00,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[CLP],Occelloth,Columbus Clappers (CLP),Goals,2.00,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[BKLN],qslvr,Brooklyn Bandits (BKLN),Goals,0.00,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[MAL],Derek,Brooklyn Bandits (BKLN),Goals,1.00,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[BKLN],scodz,Brooklyn Bandits (BKLN),Goals,1.00,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[CLP],Occelloth,Columbus Clappers (CLP),Saves,1.00,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[BKLN],qslvr,Brooklyn Bandits (BKLN),Saves,1.00,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[COB],TyrantK,Columbus Clappers (CLP),Saves,0.00,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[BKLN],scodz,Brooklyn Bandits (BKLN),Saves,1.00,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[MAL],Derek,Brooklyn Bandits (BKLN),Saves,0.00,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[CLP],Panarin,Columbus Clappers (CLP),Saves,9.00,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[CLP],Panarin,Columbus Clappers (CLP),Shots,0.00,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[COB],TyrantK,Columbus Clappers (CLP),Shots,4.00,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[BKLN],scodz,Brooklyn Bandits (BKLN),Shots,8.00,
