Fixture Group,Fixture Date,Home Team,Away Team,First Name,Last Name,Team,Stat Desc,Stat Value,
Open Division,Wed 06 May 2020 08:00 PM,Oklahoma Exotics (OKL),San Francisco Hotpockets (HOT),[QUE],Green,Oklahoma Exotics (OKL),Shots,17.00,
Open Division,Wed 06 May 2020 08:00 PM,Oklahoma Exotics (OKL),San Francisco Hotpockets (HOT),[OKL],Dolen,Oklahoma Exotics (OKL),Shots,7.00,
Open Division,Wed 06 May 2020 08:00 PM,Oklahoma Exotics (OKL),San Francisco Hotpockets (HOT),[HOT],YOBeastyKid,San Francisco Hotpockets (HOT),Shots,0.00,
Open Division,Wed 06 May 2020 08:00 PM,Oklahoma Exotics (OKL),San Francisco Hotpockets (HOT),[HOT],Xectro,San Francisco Hotpockets (HOT),Shots,1.00,
Open Division,Wed 06 May 2020 08:00 PM,Oklahoma Exotics (OKL),San Francisco Hotpockets (HOT),[OKL],BooYAH2g1c [C],Oklahoma Exotics (OKL),Shots,9.00,
Open Division,Wed 06 May 2020 08:00 PM,Oklahoma Exotics (OKL),San Francisco Hotpockets (HOT),Hot,CCPizza,San Francisco Hotpockets (HOT),Shots,0.00,
Intermediate Division,Wed 06 May 2020 08:00 PM,Winnipeg Wrath (WW),Honolulu Hootenannys (HUH),[HUH],FatLeft,Honolulu Hootenannys (HUH),Assists,1.00,
Intermediate Division,Wed 06 May 2020 08:00 PM,Winnipeg Wrath (WW),Honolulu Hootenannys (HUH),[TSG],Tupac,Winnipeg Wrath (WW),Assists,2.00,
Intermediate Division,Wed 06 May 2020 08:00 PM,Winnipeg Wrath (WW),Honolulu Hootenannys (HUH),[HUH],Ludichris,Honolulu Hootenannys (HUH),Assists,2.00,
Intermediate Division,Wed 06 May 2020 08:00 PM,Winnipeg Wrath (WW),Honolulu Hootenannys (HUH),[WW],Ohgood,Winnipeg Wrath (WW),Assists,4.00,
Intermediate Division,Wed 06 May 2020 08:00 PM,Winnipeg Wrath (WW),Honolulu Hootenannys (HUH),[HSCB],Pino,Winnipeg Wrath (WW),Assists,1.00,
Intermediate Division,Wed 06 May 2020 08:00 PM,Winnipeg Wrath (WW),Honolulu Hootenannys (HUH),[HUH],TheLuigi,Honolulu Hootenannys (HUH),Assists,2.00,
Intermediate Division,Wed 06 May 2020 08:00 PM,Winnipeg Wrath (WW),Honolulu Hootenannys (HUH),[HUH],TheLuigi,Honolulu Hootenannys (HUH),Goals,1.00,
Intermediate Division,Wed 06 May 2020 08:00 PM,Winnipeg Wrath (WW),Honolulu Hootenannys (HUH),[WW],Ohgood,Winnipeg Wrath (WW),Goals,6.00,
Intermediate Division,Wed 06 May 2020 08:00 PM,Winnipeg Wrath (WW),Honolulu Hootenannys (HUH),[HUH],Ludichris,Honolulu Hootenannys (HUH),Goals,1.00,
