Home Team,Away Team,Home GM,Away GM,Id,Week,LR DATE,Thread Name,State
No Name Nighthawks,Boston Bahds,231615312896720908,829778521106153542,5.4,5,13,5.4: No Name Nighthawks vs Boston Bahds,Pending
Vader Whiteout,Birmingham Bobos,701566236114419792,147892841018818560,5.5,5,13,5.5: Vader Whiteout vs Birmingham Bobos,Pending
Barrie Beaver Brigade,Hagerstown Heroes,737199113296412852,548290255187607553,5.6,5,14,5.6: Barrie Beaver Brigade vs Hagerstown Heroes,Pending
Birmingham Bobos,Whitby Wombats,147892841018818560,536377451627151360,5.7,5,14,5.7: Birmingham Bobos vs Whitby Wombats,Pending
Boston Bahds,Gary Glizzy Gobblers,829778521106153542,568523413807955988,5.8,5,14,5.8: Boston Bahds vs Gary Glizzy Gobblers,Pending
Vader Starkillers East,Bedford Bobos Preparatory Academy,503659339278581792,246077263286632449,5.9,5,14,5.9: Vader Starkillers East vs Bedford Bobos Preparatory Academy,Pending
Vader Whiteout,No Name Nighthawks,701566236114419792,231615312896720908,5.10,5,14,5.10: Vader Whiteout vs No Name Nighthawks,Pending
Bedford Bobos Preparatory Academy,Barrie Beaver Brigade,246077263286632449,737199113296412852,5.11,5,15,5.11: Bedford Bobos Preparatory Academy vs Barrie Beaver Brigade,Pending
Gary Glizzy Gobblers,Vader Whiteout,568523413807955988,701566236114419792,5.12,5,15,5.12: Gary Glizzy Gobblers vs Vader Whiteout,Pending
Hagerstown Heroes,Boston Bahds,548290255187607553,829778521106153542,5.13,5,15,5.13: Hagerstown Heroes vs Boston Bahds,Pending
No Name Nighthawks,Birmingham Bobos,231615312896720908,147892841018818560,5.14,5,15,5.14: No Name Nighthawks vs Birmingham Bobos,Pending
Whitby Wombats,Vader Starkillers East,536377451627151360,503659339278581792,5.15,5,15,5.15: Whitby Wombats vs Vader Starkillers East,Pending
Barrie Beaver Brigade,Whitby Wombats,737199113296412852,536377451627151360,6.1,6,16,6.1: Barrie Beaver Brigade vs Whitby Wombats,Pending
Birmingham Bobos,Vader Starkillers East,147892841018818560,503659339278581792,6.2,6,16,6.2: Birmingham Bobos vs Vader Starkillers East,Pending
Boston Bahds,Bedford Bobos Preparatory Academy,829778521106153542,246077263286632449,6.3,6,16,6.3: Boston Bahds vs Bedford Bobos Preparatory Academy,Pending
No Name Nighthawks,Gary Glizzy Gobblers,231615312896720908,568523413807955988,6.4,6,16,6.4: No Name Nighthawks vs Gary Glizzy Gobblers,Pending
Vader Whiteout,Hagerstown Heroes,701566236114419792,548290255187607553,6.5,6,16,6.5: Vader Whiteout vs Hagerstown Heroes,Pending
Bedford Bobos Preparatory Academy,Vader Whiteout,246077263286632449,701566236114419792,6.6,6,17,6.6: Bedford Bobos Preparatory Academy vs Vader Whiteout,Pending
Gary Glizzy Gobblers,Birmingham Bobos,568523413807955988,147892841018818560,6.7,6,17,6.7: Gary Glizzy Gobblers vs Birmingham Bobos,Pending
Hagerstown Heroes,No Name Nighthawks,548290255187607553,231615312896720908,6.8,6,17,6.8: Hagerstown Heroes vs No Name Nighthawks,Pending
Vader Starkillers East,Barrie Beaver Brigade,503659339278581792,737199113296412852,6.9,6,17,6.9: Vader Starkillers East vs Barrie Beaver Brigade,Pending
Whitby Wombats,Boston Bahds,536377451627151360,829778521106153542,6.10,6,17,6.10: Whitby Wombats vs Boston Bahds,Pending
Barrie Beaver Brigade,Birmingham Bobos,737199113296412852,147892841018818560,6.11,6,18,6.11: Barrie Beaver Brigade vs Birmingham Bobos,Pending
Boston Bahds,Vader Starkillers East,829778521106153542,503659339278581792,6.12,6,18,6.12: Boston Bahds vs Vader Starkillers East,Pending
Gary Glizzy Gobblers,Hagerstown Heroes,568523413807955988,548290255187607553,6.13,6,18,6.13: Gary Glizzy Gobblers vs Hagerstown Heroes,Pending
No Name Nighthawks,Bedford Bobos Preparatory Academy,231615312896720908,246077263286632449,6.14,6,18,6.14: No Name Nighthawks vs Bedford Bobos Preparatory Academy,Pending
Vader Whiteout,Whitby Wombats,701566236114419792,536377451627151360,6.15,6,18,6.15: Vader Whiteout vs Whitby Wombats,Pending
