Timestamp,Your Discord Tag,Which Region are you signing up for?,Team Name,Team Abbreviation,Team Venue,Team Logo ,Will your team be using a General Manager (GM) ?,General Manager - Discord Tag,General Manager - Steam Name,General Manager - Slap ID,Captain - Discord Tag,Captain - Steam Name,Captain - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Pick one
6/18/2026 15:35:37,Galalendon,Main Slapshot League (East),Vader Acolytes ,VADA,Slap Star Arena,https://drive.google.com/open?id=1sCljrisOLdPJdPQzv53bwpXPRaz0oce6,No,,,,Filip Chytil Stan,Filip Chytil Stan,184180,,,,BoatsNHoes,BoatsNHoes,1771333,Drpecker,Drpecker,1562745,TheRealAmeriCam,TheRealAmeriCam,1937517,,,,Jenna Ortega
6/18/2026 19:08:37,napa0,Central Slapshot League,Battle Creek Kings,BACK,Havens Arena,https://drive.google.com/open?id=1qpcERfj0g1JIY-7ANmnqeoh9GpcnpzKa,No,,,,Napa0,Napa0,296477,,,,HammerTime9000,HammerTime9000,1238207,Joemer,Joe,67383,.spmz,SPMZ,941924,CalebL,SemenSlayer,1427595,Salt and Vinegar
6/18/2026 19:50:27,EggsThink,Central Slapshot League,Ottawa Valley Puck Masters,OVPM,Hammy's Dojo,https://drive.google.com/open?id=1HtuItc_Nai85QqsvKzQsID6RwPEAa8oU,No,,,,TheRealAmeriCam,TheRealAmeriCam,1937517,,,,Inph1del,Inph1del,6803,JG Wentworth 877-Cash-Now,JG Wentworth 877-Cash-Now,1591253,alt.07,ALT,24807,altaccound244,poops,819088,Aubrey Plaza
6/18/2026 20:16:37,EggsThink,Central Slapshot League,Ottawa Valley Bass Slappers,OVBS,Guitar Center,https://drive.google.com/open?id=1jBSwKQom44RtSKno4-VySNSSx19TOh4B,Yes,EggsThink,EggsThink,417498,,,,Noobweps,Noob_Weapons,87,lessthanden,LessThanDennis,513,GiraffeKiller,GiraffeKiller,1314542,dion_e_sus,Dionysus,87468,root_beard,Kavorka,816852,Aubrey Plaza
6/18/2026 21:14:39,meenimizer,Central Slapshot League,Vader Vanquishers,VANQ,The Thunderdome,,Yes,Galalendon,Galalendon,249493,,,,sharqq,sharqq,787,rovk,Makar,739963,Vendal,_V,1853671,Drpecker,Drpecker,1562745,,,,Jenna Ortega
6/18/2026 21:18:30,meenimizer,West Slapshot League,Vader Vanguard,VANG,The Fortress,,Yes,B0T-AkakattackYT,Akakattack ,1689859,,,,edb500,Equal,1033794,jqkson,jqkson,837003,skaudoingle,skaudoingle,767712,legarsqc,Nayr,286293,,,,Margot Robbie
6/18/2026 22:55:48,andrewdewar104,Main Slapshot League (East),Chicago Sky Scrapers,CSS,Rookery Arena,,No,,,,andrewdewar104,andrewdewar104,453698,,,,ddewar,Danimal1059,448394,ragequitter08,Rage Quitter,509256,hhernandezjr,Dead2Soon,449498,,,,plz work
6/19/2026 0:05:40,echolevels,Main Slapshot League (East),Boston Bobos,BOBO,Boston Bobo Stadium,https://drive.google.com/open?id=1aM2b5dqikRYmKPKiiUCaJey3UiZTnQ2r,No,,,,echolevels,echo,22412,,,,yackslack,YackSlack,640761,jakee72,jakee,4153,booyaaaaaaaaaaaaaaaaaaaaaaaaaa,booya,1419124,pl4zma,pl4zma,636422,2000s Hayley Williams
6/19/2026 0:30:30,Akakattack ,Main Slapshot League (East),Vader Eastern Attackers ,VEA,The Battledome,https://drive.google.com/open?id=1A61uPO--ZtMSkEoIwg9Nw_mTbua64Yti,No,,,,B0T-AkakattackYT,Akakattack ,1689859,,,,Skiztastic,Skiz,4633,cybergoose ,cybergoose,1199765,,,,,,,Sydney Sweeney
6/19/2026 2:21:37,EggsThink,Central Slapshot League,Ottawa Valley Cool Cats,OVCC,The Cat Tree,https://drive.google.com/open?id=1E3-GQ47sMskXkeEmZCoKmkTQbqpXgk5d,No,,,,EggsThink,EggsThink,417498,,,,notg,Sweatshirt,1856285,milk0720,Milk,429195,rgaj,Jagr,560316,panarin,Panarin,35,Aubrey Plaza
